Reading pref.tcl

# 2023.2

# vsim -debugDB -voptargs=""+acc"" -c top_tb -do "run -all; quit" 
# Start time: 02:17:42 on Apr 13,2026
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# ** Note: (vsim-8611) Generating debug db.
# ** Warning: (vopt-10587) Some optimizations are turned off because the +acc switch is in effect. This will cause your simulation to run slowly. Please use -access/-debug to maintain needed visibility.
# ** Note: (vsim-12126) Error and warning message counts have been restored: Errors=0, Warnings=1.
# //  Questa Sim-64
# //  Version 2023.2 linux_x86_64 Apr 11 2023
# //
# //  Copyright 1991-2023 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading work.top_tb(fast)
# Loading work.top(fast)
# Loading work.OR2X1(fast)
# Loading work.XOR2X1(fast)
# Loading work.NAND3X1(fast)
# Loading work.AOI22X1(fast)
# Loading work.OAI21X1(fast)
# Loading work.NOR2X1(fast)
# Loading work.NOR3X1(fast)
# Loading work.AND2X2(fast)
# Loading work.NAND2X1(fast)
# Loading work.XNOR2X1(fast)
# Loading work.AOI21X1(fast)
# Loading work.DFFNEGX1(fast)
# Loading work.INVX2(fast)
# Loading work.OAI22X1(fast)
# Loading work.FAX1(fast)
# Loading work.HAX1(fast)
# Loading work.LATCH(fast)
# Loading work.INVX1(fast)
# Loading work.BUFX2(fast)
# Loading work.AND2X1(fast)
# Loading work.OR2X2(fast)
# Loading work.INVX4(fast)
# Loading work.BUFX4(fast)
# Loading work.INVX8(fast)
# Loading work.MUX2X1(fast)
# Loading work.ins_mem(fast)
# ** Note: (vsim-8900) Creating design debug database vsim.dbg.
# run -all
# Assembler Check: instr[0]=1100001000000101, instr[1]=1011010000000011, instr[2]=0000011001010000
#                                                            TABLE OF RESULTS                                                          
#  ----------------------------------------------------------------------------------------------------------------------------------- 
# | Cycle | Opcode |   R1   |   R2   |   R3   |   R4   |   R5   |   R6   |   R7   | RAM[0] | RAM[1] | RAM[2] | out_port |   Comment   |
#  ----------------------------------------------------------------------------------------------------------------------------------- 
# |    1  |  0x0x  | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx | 0xxxxx |  0xxxxx  |    reset    |
# |    2  |  0x00  | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |    reset    |
# |    3  |  0x00  | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |    4  |  0x00  | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |    5  |  0x0c  | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |    6  |  0x0c  | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |    7  |  0x0c  | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |    8  |  0x0c  | 0x0005 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |    9  |  0x0b  | 0x0005 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   10  |  0x0b  | 0x0005 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   11  |  0x0b  | 0x0005 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   12  |  0x0b  | 0x0005 | 0x0c00 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   13  |  0x00  | 0x0005 | 0x0c00 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   14  |  0x00  | 0x0005 | 0x0c00 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   15  |  0x00  | 0x0005 | 0x0c00 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   16  |  0x00  | 0x0005 | 0x0c00 | 0x0c05 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   17  |  0x0c  | 0x0005 | 0x0c00 | 0x0c05 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
